Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Microsoft Azure DevOps Engineer Expert (AZ-400) Cert Prep: 4 Design and Implement Build and Release Pipelines by Microsoft Press,"<p>Get ready to take your skills to the next level and tackle the fourth domain of the Azure DevOps Engineer Expert (AZ-400) certification exam: Design and Implement Build and Release Pipelines. Join the experts from Microsoft Press for an overview of how to develop, implement and manage build pipelines and some external tools you can use to facilitate your processes. Learn how to set up build agents and create both classic Azure Pipelines and YAML pipelines. Explore package management, containers, and ways to maintain your code quality and security. Plus, learn how to integrate external tools, optimize your builds, and monitor and analyze your pipelines. By the end of this course, you’ll be ready to tackle the fourth domain of the official exam.</p>
 
<p>This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2023-06-25 20:35 UTC,N/A,false,N/A,
Marketing Foundations: Competitive Market Analysis (2017),"By compiling a competitive analysis, you gain insight into your competitors to identify your own advantage and edge in the marketplace. In this course, join marketing expert Deirdre Breakenridge as she explains how to conduct a competitive analysis for your business. In addition to explaining the value of a competitive analysis, Deirdre shares best practices for conducting research on your competition, and discerning your own strengths and weaknesses. She also discusses how to analyze your competitor's strategies to inform your future goals. Finally, Deirdre shows you how to evaluate the outcome of your analysis.",Course,2022-09-28 22:02 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-01-16 15:20 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2023-04-21 17:17 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,2023-08-23 20:58 UTC,N/A,false,N/A,
Practical Engineering,"Engineering involves a lot of theory. But we don't always get to see it in practice. This series teaches fundamental principles that all civil and mechanical engineers need to know, alongside demonstrations that show how they really work. Using everything from desktop models predicting the movement of groundwater to hand-built examples of mechanically stabilized earth, instructor Grady Hillhouse explains how engineering concepts become real. Every month, he introduces an important new topic that will improve your understanding of essential engineering principles, including force, strength, tension, compression, and more, and help you find better solutions to common design challenges.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-04-27 01:09 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2022-12-03 17:25 UTC,N/A,false,N/A,
Fusion 360: Design for Mechatronics,"Fusion 360 is a world-leading mechanical design software. But it also has an overlooked toolset for mechanical–electrical (mechatronic) design. This course teaches engineers and designers how to create simple mechatronic projects and documentation using Fusion 360. Instructor Justin Flett recaps the basics of the software, showing how to generate simple mechanical parts for a robot. He then reviews the advanced tools for plastics and casting design—Draft, Shell, and Rib—commonly used for mechatronics enclosures and casings. He shows how to incorporate components, plus motors and fasteners, into an assembly and how to route wires and cables. Finally, Justin explains how to generate final output, including exploded views and drawing, STEP, and PDF files for use in manufacturing.",Course,2022-11-26 14:55 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2023-06-15 13:15 UTC,N/A,false,N/A,
.NET with C# Essentials: Enhance Application Productivity and Performance ,"Microsoft .NET is a modern, cross-platform framework for developing applications for the web, desktop, and mobile devices. This course gives an introduction to some of the features of .NET that makes building applications easier, more performant, and more productive. Veteran technologist Joe Marini demonstrates how to use built-in capabilities of .NET such as string processing, data collection types, number and date formatting, reading and writing files, and even working with regular expressions. By using these built-in features, developers can focus on their core application logic and less on having to build common capabilities from scratch.",Course,2023-01-23 02:39 UTC,N/A,false,N/A,
